index,text,quality,difficulty,prof_name
36,he is so corny! I love this guy. He was such a nice teacher. he bumped my grade up to an A even though i had about an 88 but bc i was in class and did the work he gave me some extra credit for trying. He is really helpful and always tells silly jokes. Hes just weird but in a good way. A is very possible,5.0,2.0,Efton Park
37,"Super nice guy, but not the easiest class. The tests are disproportionately harder than the homework, which he fails to realize. Hes always willing to help, and has a odd since of humor that will keep the class from every dragging too bad. Not a bad class, just be mindful of the tests.",4.0,4.0,Efton Park
38,"Nice guy. However, if you take no other warning take this one. When he says that ""if you are able to do the homework, you will do fine on the test."" -- Just know that is a complete and utter lie. The tests are 50x harder than anything he gives for homework or does in class. If you have not had calc before I would recomend another prof.",1.0,4.0,Efton Park
39,"This teacher incredibly evil. I took this guy based upon what I read from the other comments and it led me to a lot of pain. Hard tests, and doesn't know how to teach well. HUGE EGO PROBLEM!!! DO NOT TAKE THIS PROFESSOR!! CHOOSE ANOTHER TEACHER. I HAVE TO RETAKE CALC B/C OF HIM!!!",1.0,5.0,Efton Park
40,It is truly amazing how this professor receives a paycheck. She chooses to meet via zoom with her students once a month and expects her students to read chapter after chapter in preparation for her exams. Her meetings are completely worthless and is very rude. I can't believe I spent my own money taking this course. Worthless.,1.0,5.0,Rhonda Mack
41,I loved Professor Mack! She is entertaining and really cares for her students. Semester long group project and discussions every week so don't skip class. Tests are not too difficult if you study the information from each chapter. Definitely one of my favorite teachers at CofC.,5.0,4.0,Rhonda Mack
42,"At first, after reading some mixed reviews, I was nervous to take Rhonda's class. However, I'm almost at the end of my semester with her and she is great! She's an all around great professor! This means something coming from me because I hardly ever liked any of my professors. Tests are hard but only if you don't study!",5.0,4.0,Rhonda Mack
43,Marketing research is the most difficult class in the marketing track. You should take this class when your fresh out of stats because it will come in handy. The tests are a bear not. Whole lot of people get as on them. Dr Mack comes off very intense but she lightens up toward the end of the semester so don't let her scare you. The book is like reading a dictionary which makes studying for the tests difficult. Overall I learned a lot.,4.0,4.0,Rhonda Mack
44,"tests are extremely hard-the average on test 1 was about a 50. study like crazy, because she picks the most random and picky stuff to include on the tests. doesn't use any visuals during lecture, so it's hard to pay attention. however, nice teacher & helpful if you ask questions. final project sucks-it's a 10-15 pg paper, but it's in groups.",3.0,4.0,Rhonda Mack
45,"Poorly prepared, makes exams unneccesarily hard with picky/tricky questions",2.0,3.0,Rhonda Mack
46,"Class was fairly interesting.  Yet, she makes test very difficult.  Most questions are okay, but she pulls out a few picky things like random stats never mentioned in class.  You will not get an A unless you can nearly memorize the book.  But she is a very good teacher and understands marketing well",5.0,3.0,Rhonda Mack
47,Great professor. Very intelligent and easy to understand. The best advice is to READ THE BOOK!! All of her tests come straight out of the book and not from lecture. Tests are very difficult but the class is fun overall.,4.5,4.0,Rhonda Mack
48,"If you have an 89 in the class, you will get a B instead of a B+.  I don't think that is very fair",3.5,2.0,Rhonda Mack
49,good professor. easy class. you do have to read and participate though. if the class participates she excludes the final. I would highly recommend her.,4.5,2.0,Rhonda Mack
50,"Awsome professor! Very helpful. Yes, she has attendance policy, but that is what you are paying for - a class.  Just study the definitions from the book, and you will get at least a B.  On the tests, ask her, and she will almost give you the answer.",5.0,2.0,Rhonda Mack
51,This class was hard only 3 tests which count for 90% of your grade. My advice for any students interested in majoring in business stay away from buiness adminstration if you are not good in certain class,2.0,5.0,Rhonda Mack
52,I enjoyed the class the class a lot. Learned a lot of new things. She is a pretty good prefessor. Highly recommend her.,5.0,2.0,Rhonda Mack
53,Possibly the worst class.  She has the most strict attendance policy so that you can sit in class and have her read you the book.  I have other ways of WASTING an hour and 15 min.  I highly recommend looking elsewhere for a mktg prof.  Take Turner instead,1.0,2.0,Rhonda Mack
54,"Her class is pretty straight forward.  However, she gave me a B in the class when I had a B+ average...didn't that was right.",3.0,3.0,Rhonda Mack
55,"Take this class and get old test! They are plentiful and almost guarantee an A, assuming you are not partially braindead.",5.0,1.0,Rhonda Mack
56,"Good class, 3 tests, 1 non cumulative final all multiple choice. No papers or projects, all you have to do is bring examples, and read the book. Usually go home early everytime. Take her.",3.5,2.0,Rhonda Mack
57,She is fabulous.  She's makes marketing interesting and she knows what she is talking about.  The material is tough but she makes it managable.  She's got a great sense of humor and makes it worth going to class.,4.5,2.0,Rhonda Mack
58,Great teacher. Very helpful especially in advising. Study the CD-rom and you are set for the tests.,5.0,3.0,Rhonda Mack
59,Makes classes fun and easy. Attendance is mandatory but studying is minimal.,5.0,1.0,Rhonda Mack
60,"Do not come into this class thinking you will be debating ideas. YOU WILL NOT! You are not allowed to express your personal thoughts or beliefs in this Ethics class, Confusing!",2.0,4.0,Irene Byrnes
61,Really easy but boring,4.0,4.0,Irene Byrnes
62,she scared me honestly lmao. I can count on one hand how many times we did anything else besides take a quiz or listen to her talk. The final project is an introverts worst nightmare but its not hard. Take good notes/pay attention and you can get an A with very little effort.,4.0,3.0,Irene Byrnes
63,"Really really easy class. All you need to do is show up and listen and not be a jerk. She gives you quiz reviews which is basically the quiz, she's kind of quirky but really easy going. Should have been a lawyer, she tells you what she expects straight off the bat and just lectures for an hour and fifteen minutes. Nice class for an A.",5.0,1.0,Irene Byrnes
64,The class is so dry that its impossible to pay attention. However she is a super knowledgeable woman who knows her stuff. Do exactly what she wants and you'll get an A. A quiz after each module. She gives out a study guide with the questions on the quizzes that she goes over in class . Also some other assignments and a final project that are easy.,4.0,1.0,Irene Byrnes
65,"Her lectures feel like they last forever because they are really boring. But, her class is so easy if you show up. Her quizzes are easy, and she lets you use the study guide during them. All of her writing assignments are straightforward, and there is a 10 minute presentation you have to do, but it is easier than she makes it seem.",4.0,2.0,Irene Byrnes
66,Nice professor Boring class,3.0,3.0,Irene Byrnes
67,"Her lectures were dry and boring . As long as you show up and hand in the work you can get a solid B or A. She is a tough grader and gives a lot of handouts, fyi.",2.0,4.0,Irene Byrnes
68,"If you want an A in her class, you have to do the work. There is a lot of assigned reading in this course, and you have to actively participate in discussion modules. The quizzes were not easy, but not overly difficult. If you review before hand, you will be fine. She is very nice, and provides great feedback to help you with future assignments.",5.0,4.0,Irene Byrnes
69,"Loved her class. She is open to suggestion and arguments in class (provided their productive), her power points were great. The book use will REALLY help, you could get by w/out it, but not very well. Her personality is absoltely charming. She also defines the difference between being a woman, and a lady. My fave prof to date.",5.0,2.0,Irene Byrnes
70,"Good power points and thoughtful discussions.  She is somewhat strict on grading, but fair.  I found it to be an easy course.  The textbook was lengthy and rarely referenced to.  Overall, I recommend the course and professor.",4.0,3.0,Irene Byrnes
71,"Lots of notes, but little testing",4.5,3.0,Irene Byrnes
72,Never gives an A.  Doesn't believe in it.,3.0,3.0,Irene Byrnes
73,"Great class. Hands on approach. IF you like to talk and express your views, this is your class. She is very fair and believes in lex talionis. Just kidding. She is great and I had a nice time in her class.",5.0,2.0,Irene Byrnes
74,"she's great, really knows what she's talking about.  taken two of her classes, one for honors credit, learned a lot and had some fun in each of them.",5.0,4.0,Irene Byrnes
75,too much reading,3.5,2.0,Irene Byrnes
76,No Comments,5.0,2.0,Irene Byrnes
77,"I really really enjoyed my class with Professor Toner. The material in our lessons is always super interesting and he truly wants students to learn. I was so impressed by the amount of thoughtful feedback he provides, I appreciated all of it and learned a ton. The tests are long, but he is an easy grader if you work hard.",5.0,3.0,James Toner
78,"Very clear and simple assignments, but tests are lengthy and more difficult.  Very worth getting the good grade.",3.5,3.0,James Toner
79,great online class. TONS of reading and writing. actually deserved the writing intensive categorization. Good teacher gives feedback quickly and answers questions clearly. Difficult class but worth it if the material interests you.,5.0,4.0,James Toner
80,"He always gave me great feedback and extra insight on the papers, though it was a lot of work.  Don't get me wrong tho, his class was well worth the hours put in because the material was excellent and it was a real eye-opener. Not an easy A, by any means, but a life changing course with a prof. that's obviously passionate about what he is doing.",4.5,4.0,James Toner
81,"Asks test questions like ""What kind of world can our children expect?""",2.0,4.0,James Toner
82,The worst class I have ever taken.,1.0,5.0,James Toner
83,great internet course,5.0,3.0,James Toner
84,"Really good at getting conversations going, very open minded",5.0,2.0,James Toner
85,His class is very interesting. He is very knowledgable and passionate about what he teaches.,5.0,3.0,David Ostry
86,"Such a great professor. He is passionate about what he does which is the most important thing. He made a subject I didn't find particularly interesting in neuroscience (sensorimotor system) really interesting, and he's so cute! Very knowledgable, and sweet.",5.0,3.0,David Ostry
87,He has good slides and does a thorough job at going through them in lectures but does nothing more than that. However this course is fairly easy and if you do all the relevant problems in the textbook you're fine.,2.5,2.0,David Ostry
88,Easiest class at McGill. Gives Art of Listening a run for its money! The final is much harder than the midterm but still really easy. Ostry often cancels class due to mysterious trips to the US of A. Seriously take this course.,4.0,1.0,David Ostry
89,"Good teacher, he explains everything very well. Some questions are unclear in the Ferguson book tho, and you might have to read on your own for certain details. Other then that, he knows how boring his class is, and he's trying to make it fun. Repeats everything lots of times.The midterm = super easy, the final = long/weird questions but doable",4.0,2.0,David Ostry
90,"confusing questions, unclear expectations and unavailable. awful professor stay away from any classes he teaches",1.5,5.0,David Ostry
91,"One of my favourite profs! He explains everything super well, and repeats important information over and over again. He is very helpful when asked questions, and really encourages questions during class. The exam questions are completely predictable, but the marking may be a little unfair at times.",5.0,3.0,David Ostry
92,Such a funny guy. Really enjoy attending his lectures.,4.5,3.0,David Ostry
93,"awful unclear professor, hard exams, unclear expectations",1.0,5.0,David Ostry
94,"horrible teacher! I have trouble staying awake in class, let alone pay attention and try to learn! Finals are beyond anything we've ever done before! Avoid taking his class at all costs. You'll be so much happier without him!",1.5,4.0,David Ostry
95,"Seems like a great guy, teaches a very easy class. Not much material, can learn everything in a day or two. Exams were very simple, basically just use the formulas he gives you.",5.0,1.0,David Ostry
96,"Really funny guy. Clear, simple powerpoint slides. Do all the questions assigned in the ferguson book and you'll be fine.",4.5,2.0,David Ostry
97,He's a great prof. Explains everything well and cares about his students. Straightforward class.,5.0,2.0,David Ostry
98,"this course has such bare content that it could be compressed easily into half a semester. the prof has a likable personality. hes not a bad teacher but doesnt go above and beyond either. do the questions in the book but expect a little tougher on the exam, and you should be ok.",3.0,1.0,David Ostry
99,I don't know what people are complaining about. The material was pretty straight forward and the final was nothing special; you just had to understand the equation instead of only memorizing it.,4.0,1.0,David Ostry
100,The content is OK but the prof is helpless. never have homework or extra practice but the final is something beyond the handout,2.0,3.0,David Ostry
101,"The course is not terribly difficult and his teaching is not that bad (lots of examples) but the final exam is a horror, there wasn't enough time and it was extremely hard. Also, the Ferguson text is incomprehensible and reads like something from the dark ages.",2.0,4.0,David Ostry
102,"awful prof, awful examiner",1.0,4.0,David Ostry
103,"If you are a weak math student, do not take this course with Ostry. His lectures are boring and not interactive. He does not provide assignments to keep you on track throughout the semester, and the text is hard to understand without supplemental material. As many people before have said, take it with Amsel.",2.0,5.0,David Ostry
104,"one of the worst profs i ever met he is soo boring staying awake in his lecture is impossible ,the starting material is not bad then it gets hard his midterm was really easy but the FINAL WAS SOOOO HARD  i have no idea where he got it from .AVOID AT ALL COSTS",1.5,3.0,David Ostry
105,"Great teacher overall, responsive and understanding",4.0,3.0,Alex Thornton
106,"You will really learn a lot from Thorton and his lectures. There's no need to read his notes if you watch the lectures. He will teach you everything you need to do the projects, so don't feel intimidated by them. Weekly exercise sets are not too bad either. He also responds to questions super quickly, which is a big plus. Best professor for ICS 32!",5.0,3.0,Alex Thornton
107,No exams for online classes. Projects and exercises are complex but doable. Excellent notes and lectures.,5.0,4.0,Alex Thornton
108,"He is overall a pretty good professor, but the class would be a bit challenging for new coming freshmen with a little experience in Python. I did learn a lot from this class. No tests during online class, only programming assignments (not very hard), five projects (take time), and a final project(It is basically a large programming assignment)",5.0,4.0,Alex Thornton
109,"Took his class that was adapted for covid-19. It was definitely easier since there were no exams. He's a really great lecturer and teaches you how to write better code. The projects were fun to do, and most of them were straightforward. Couldn't have asked for a better professor and class.",5.0,2.0,Alex Thornton
110,"I never went to a single lecture but his notes explain the programming concepts really well and in a concise manner, only had to refer to the official documentation a handful of times. Too bad he wouldn't let us use more advanced programming concepts not taught to us on the final but it was still easy. Otherwise he's a pretty good professor.",4.0,2.0,Alex Thornton
111,"Thornton is awesome. He codes alongside his lectures and explains his process in a way that makes sense. His notes are kinda dense, but they're helpful and align with his lectures in a way that helps reinforce stuff that may not have made sense upon first reading them. He gives a reasonable amount of work too. I really can't complain about him.",5.0,3.0,Alex Thornton
112,Definitely a tough class but if you like programming hard projects you'll enjoy it. He's very clear with what he wants in each project and you could honestly get by without asking him a single question for clarification. He also has a nice voice and is generally cheerful :),5.0,4.0,Alex Thornton
113,"I took ICS45c during COVID-19 when we shifted to online learning and it was a lot easier because exams were replaced by weekly exercise sets. You still learn though! He prerecords lots of lecture videos, provides detailed online notes, and uses live lecture times as office hours. Very responsive on Piazza and tutors/TAs are helpful.",5.0,2.0,Alex Thornton
114,"Very good online lectures and interesting projects. He takes forever to grade assignments, though, so you never really know where you stand in the class and his grading requirements are unclear. Overall good professor and I feel I learned a lot about C++ programming.",4.0,4.0,Alex Thornton
115,Took him during COVID so my take might be different. What makes Thornton much different from other ICS profs is that he is really good at teaching. We had weekly exercises that were easy and then 4 projects with 1 being optional. The only bad thing Id say is that the projects can take much longer than you think. But unforgettable experience it was,5.0,3.0,Alex Thornton
116,"Kind and hilarious professor. Have had him for 32A and 45C, did well in 32A and would have done better in 45C if I had turn in my assignments on time. What you would expect out of a CS class, as long as you do your work, it's not hard to get an A. Not super tests heavy, projects take up a good portion of your grades. Definitely take him when u can.",5.0,2.0,Alex Thornton
117,The lecture is in general enjoyable. Some of the materials are not explained but can be found on public sources. Projects rubric is unclear so be mindful. PS his side stories are great.,5.0,4.0,Alex Thornton
118,By far the best professor in the ICS department. I feel like this class really teaches you a lot. There's a major curve at the end and it's fairly easy to do well as long as you score well on the projects.,5.0,4.0,Alex Thornton
119,"He rambles a lot and it's hard to tell where you stand in the class due to the massive curve, but he's overall pretty good. His notes are good, if a bit wordy. Projects and tests are hard, but there is a large curve and I thought they were pretty fun. Fair late policy. I recommend using the 99hr extension on project 3 or waiting untill the end.",4.0,4.0,Alex Thornton
120,"I'm a transfer student and so far I've spent so much time trying to teach myself CS concepts/languages. I took 45C at UCI and it was more of the same. But now in Thornton's ICS 46, I'm learning so much and his lectures and notes are so clear and helpful. I've spent the majority of my time this quarter on this class but it's worth. highly recommend.",5.0,4.0,Alex Thornton
121,Professor thornton is really good. He is always there to help students and he really curves a lot.,5.0,4.0,Alex Thornton
122,Thornton is overrated as a professor and other professors like Pattis are way better. His projects take way too much time and when I went to his office hours he kept being rude to people who asked him questions. Such temperamental people should not be teaching.,2.0,4.0,Alex Thornton
123,"Be prepared for him to get off topic quite a bit. You most definitely don't need to waste your time in lecture, if you are willing to carefully read through his notes. His notes are his midterm/final. Projects are tough, but labs make it easier. Do the labs well, it will save your grade.",4.0,5.0,Alex Thornton
124,Pretty easy class if you just try a little. He sometimes has bad days (everyone does) so don't let it get to you. He's a good lecturer. The second half of the class was quite a bit more boring than the first. Crazy curve (A- cutoff was 82). Tests make you apply concepts in C++ so understand them well. A bit overhyped but still a GREAT professor!!,4.0,2.0,Alex Thornton
125,"Carageorge only cares about her opinion, and is a super hard grader. Yes, critique is important, but when you pour your heart and soul into a film and are pretty much told that it is garbage, that's when you start to lose hope. That's what happened to me. Not giving up on film school yet but boy was I close with Carageorge. Don't take her.",2.0,4.0,Adrianne Carageorge
126,"Adrianne is an unconventional professor with an experiential, feedback-based approach to teaching. The feedback she gives may be harsh, but it is unfailingly accurate. You will not realize until the end of the semester how much you have learned and grown as a visual storyteller.",4.0,3.0,Adrianne Carageorge
127,"She scares me. I mean, I walked into the class and afterwards got on the phone and was like ""daddy, my production teacher scares me."" Also, if she says you need a text book (prod.2) You Don't. We didn't use it once. She gets nicer the longer you're in class but still first impressions are everything. And she scared me.",4.5,4.0,Adrianne Carageorge
128,Talks a lot while not really helping much..,2.0,5.0,Adrianne Carageorge
129,"Everyone who has Carageorge either absolutely loves or hates her. She can seem a bit unorthodox at times, but what ever she is doing it works. Her freshman production class always has the best films to show at screenings and her class is a great starting point for any film maker. Her feedback can be abrasive but is usually accurate. ",3.5,1.0,Adrianne Carageorge
130,"Very tough professor but genuinely cares about her field. SHe's opinionated and gives harsh criticism yes, but as a Film major that comes with the major. If you can't handle her opinions then get a different major because it only gets harder. As far as her class, I always found her lectures interesting. She will make you BETTER!",4.5,4.0,Adrianne Carageorge
131,"This womans opinion is the ONLY opinion that matters to her. The more I BS-ed on the essays and reiterated EXACTLY what came out of her mouth in class - the higher grades I got, i'm not kidding. Easy class, but advice: Take notes during lectures and use things she says EXACTLY in your essays and you will get an A. No Conflicting Opinions Allowed!",1.5,3.0,Adrianne Carageorge
132,"Pointless class, lectures are boring.  The teacher doesn't seem motivated to teach the class.",1.0,3.0,Adrianne Carageorge
133,"Hard grader, hard as heck, very stubborn.",1.0,5.0,Adrianne Carageorge
134,"Not only does Adrianne lead a miserable life, but she will make yours miserable too.  She is extremely stubborn and won't own up to her mistakes.  Her opinions are all that matter to her, which proves that she isn't a deep thinker.  Avoid taking classes from her!",1.0,3.0,Adrianne Carageorge
135,"Story and Structure. I didn't like her much for this class. I felt like I didn't really learn anything. She was very unhelpful when I was having issues with a paper and told me it wasn't going to matter much, but then I got a D on the paper and it really brought down my grade.",1.5,4.0,Adrianne Carageorge
136,"Sometimes unclear, but boring class.",1.0,1.0,Adrianne Carageorge
137,Tough grader!,1.5,4.0,Adrianne Carageorge
138,"Boring teacher, likes to fail students.",1.5,4.0,Adrianne Carageorge
139,Withdrew from her class.  She seriously will give you a hard time.,1.5,3.0,Adrianne Carageorge
140,Awful awful professor.  The meanest person I have ever met in my whole life. AVOID!,1.0,5.0,Adrianne Carageorge
141,"She will hate your scripts, I tried to make the one that she would like, but I failed.  I took it with another teacher, I got an A.",1.0,5.0,Adrianne Carageorge
142,"Insulting the legends, and making fun of them. Wow. What a teacher.",1.0,5.0,Adrianne Carageorge
143,"The most disturbing teacher with upsetting points of views, it's all about her complaining about how awful movies are and always saying how great she is. Avoid her at all costs.",1.5,5.0,Adrianne Carageorge
144,"She's they type of professor that it'd be useless to argue with. It's her way, or no way. If you are writing about ANY of the films she shows you in class, SAY THAT YOU LIKE THEM. Arguing your point, no matter how valid you are, will result in a low grade.",2.5,3.0,Adrianne Carageorge
145,The quizzes that Nicastro writes are always way harder than the ones written by the other professor.,3.0,4.0,Anthony Nicastro
146,"Dr. Nicastro is an awesome prof. I took his class in my freshman year and had a great time in his class. He's clearly passionate about his chosen field of study, and is a big Star Trek nerd to boot. His class isn't some easy A to use when fulfilling a science or interdisciplinary requirement, but if you care about the subject matter you'll enjoy it",5.0,4.0,Anthony Nicastro
147,"Scheduled another prof. and got Nicastro. If you want to get yelled at and feel stupid for an entire physics lab take Nicastro. As the chair of the department, he was teaching a very low level physics lab and was taking it wayyy too seriously.",1.0,4.0,Anthony Nicastro
148,"Fantastic professor.  You have to be as dedicated as he is to get through this class.  It is NOT an easy class to pass, and I LOVE this.  Be prepared to study and practice and go to office hours and tutoring and ask the majors' for assistance..... And if you do all of that, be prepared to LEARN!!!!",4.0,5.0,Anthony Nicastro
149,"Although personally I liked him, and I thought that he was super passionate about science, a lot of times I felt like he couldn't properly explain concepts to us. Nice guy, but I'm not sure I'd take him again unless I have to. ",2.5,5.0,Anthony Nicastro
150,DO NOT take Nicastro unless you absolutely have to. He knows his stuff but is horrible in actually iterating it to his students. And don't get me started on his tests. They are a significant step up in difficulty from the homework. His finals are worse. Not to mention he reprimand us ons a daily basis for not understanding concepts (it's that bad),2.0,5.0,Anthony Nicastro
151,"Very knowledgable and charismatic with his words. Does not know the meaning of ""conceptualizing"" he does not know the art of teaching. His classes and test are all about specific details which are impractical for students.",1.0,5.0,Anthony Nicastro
152,"Intelligent. Probably knows a lot about physics. Though, it is too bad he is unable to communicate that to his students. Wish the university would let this dinosaur go. His views are antiquated, and close minded. Which is odd for a science professor.",1.0,3.0,Anthony Nicastro
153,"Origins of Life and the Universe: its the same disappointment as the rest. Its a shame because U can tell he loves his field of study. Knowledge of his field is 10 out of 10, knowledge about ""how to teach"" 0 out of 10. Not a clue about Teaching. Its incredible that College & University teachers do not hold a Teaching Certificate!WTF!DO NOT enroll",3.0,5.0,Anthony Nicastro
154,I took Dr. Nicastro for a class about Science and Religion he was a great prof. He definitely knows whats he's talking about. He has strong beliefs but is very educated in the subject matter so has a right to have them.,4.5,2.0,Anthony Nicastro
