,text,quality,difficulty,prof_name
53,"This was the hardest class I've had - 9 plays and the sonnets in 4 weeks, with lots of postings required. Life stopped for this class.  His method of Socratic questioning in the discussions was fantastic-learned so much. His grading of the final paper seemed arbitrary and the response was esoteric and incomprehensible. So, a mixed review.",1.0,5.0,Paul Majkut
54,The sort of teacher one never hopes to be.,2.0,5.0,Paul Majkut
55,"Avoid him !!! He is a terrible teacher he made me hate asubject i currently loved, perhaps one of the worst teachers at national university",1.0,5.0,Paul Majkut
56,Clueless!  Takes forever to grade and always has an excuse.  Took on online class with him and he spelled things wrong and messed up due dates all the time.  HARD grader - who knew a 94% final average is actually an A-?,2.0,4.0,Paul Majkut
57,No Comments,2.0,3.0,Paul Majkut
58,"Classes are mandatory but I found no value in attending. The exam was pretty straightforward. If I had a choice, I would not take Motala.",1.0,3.0,Ziyad Motala
59,arrogant,1.5,5.0,Ziyad Motala
60,"I did not enjoy the class. The professor appeared unprepared. I learnt very little in class, and ended up teaching myself the material.",1.0,3.0,Ziyad Motala
61,"The worst professor at Howard! This is why we have such low bar passage. The class was dull, useless and uninformative. I taught myself Con law",1.0,3.0,Ziyad Motala
62,AWFUL AWFUL AWFUL. HOW ABOUT YOU  STOP BEING LAZY AND PREPARE FOR CLASS. THIS MAN HAS BEEN LECTURING FROM THE SAME TIRED NOTES FOR SEVERAL YEARS. WORTHLESS!!!!!,1.0,3.0,Ziyad Motala
63,"This professor definitely plays favorites. He's primarily interested in hearing his own ideas. His goal is not to teach you how to think, but what to think. He teaches from the same lecture he's been using for over a decade. Make sure you get copies of them from older students. Avoid taking this professor. Take Crooms instead.",1.5,3.0,Ziyad Motala
64,"I took his online Econ class, and it was the worst class I've taken. Unless you are an excellent test taker and like to teach yourself the class, steer clear. He posts zero lectures or any other original material, grades everything on 2 proctored exams, and tells you to buy an extra textbook--that he wrote. Save your money; take the CLEP instead.",1.0,4.0,Larry Ross
65,"I took his online class and it was BRUTAL. I took econ because I like econ and understand econ, and this class made me feel like I understood NOTHING. I read the books & felt like I understood everything, and then when I went into the exam I was lost. I don't even know what I got wrong on the exams! I would NOT take a class from Ross ever again.",1.0,5.0,Larry Ross
66,"This guy is horrible, from his reviews it sounds like his IN PERSON class is not so bad, but I took his online course. It was literally buy these books (one of which seemed entirely useless that he coincidentally wrote), take these 2 tests (no notes, closed book). No teaching. You don't even get your tests back for review.",1.0,5.0,Larry Ross
67,DONT EVER TAKE THIS GUYS CLASS!!.... horrible,1.0,4.0,Larry Ross
68,"So it's my first semester at UAA. I take Ross's class online. The prof seems nice-but he doesn't interact with you at all. Outside of BlackBoard, he doesn't talk. If you take his class online, be prepared to read the textbook and take notes. DO THE ONLINE QUIZZES. DO THEM. They WILL save your butt on the tests (which compose your entire grade btw).",2.0,2.0,Larry Ross
69,"Hands down worst online class I have ever had, only because Professor Ross was so awful. The midterm is on first half of the book, the final is on the second half. He was nearly impossible to get a hold of and when I was able to contact him he would give 0 feedback and didn't seem to care if I passed his class or not. He was always very rude.",1.5,4.0,Larry Ross
70,"She gives tedious (50+ questions) homework, once you turn it in- don't expect it back before the exam to review, nor in time for the final or midterm grades. She doesn't grade any of her assigned homework. She will give you a BRIEF syllabus that will come back to bite you a month after class has begun. All she does is teach, hours are not helpful.",1.0,1.0,Judy Rector
71,"He is rude, I never got a grade or feedback. His class is intro to education I had questions. I wanted to learn. I was interested. He has no clue he was the person I trusted to help me he failed. He never answered an email. He never gave me feedback on anything. I don't know if I got anything wrong on the test. How could I improve. he failed me...",1.0,2.0,Mike Smith
72,"This teacher is horrible! Hardly responds to emails, and if he does he's rude! He is very unclear of due dates. He forgets to put links up for the tests and doesn't let us know any of our grades! I would not suggest taking this teacher!",1.0,3.0,Mike Smith
73,This was an 8 week online course the teacher never e-mailed me back. After 8 weeks I was never given any feedback and nothing was graded. He has not posted my grade. He was not available by phone or in his office either. My classmates said they received no feedback or e-mails. To summarize I would not suggest taken an online course with Mr. Smith.,1.5,5.0,Mike Smith
74,"ABSOLUTELY TERRIBLE. DO NOT TAKE HER. She seems sweet at first but you quickly see the other side of her. She hates when students ask her questions but then asks us to ask questions. She cannot teach, simply reads off the notes packet which makes less sense than she does. Only took her because she is the only professor who teaches the course.",1.0,5.0,Marlina Slamet
75,"So rude, just do yourself a favor and dont take her",1.0,5.0,Marlina Slamet
76,"AWFUL! Average is only based off of 4 tests. Participation, attendance, & homework doesn't count towards your average. Reads off a google doc and when you have questions she tells you to figure it out on your own. If you go for help and tell her you are struggling, she tells you you aren't trying hard enough. Rude and doesn't care if you pass.",1.0,5.0,Marlina Slamet
77,She is a horrible professor. She doesn't write out any problems on the board and reads off a google doc the whole class. Then when the class doesn't do good on an exam she blames it on the students for not studying enough. She is very rude.,1.0,5.0,Marlina Slamet
78,Professor Slamet seems nice on the outside but grades so hard and doesnt care about you or what grade you get.,2.0,4.0,Marlina Slamet
79,"The one positive thing I have to say about her is she prints the notes for you. She said that examples from the notes would be the test but would ask something completely different. If you failed a portion of the grade, she would put your ID number on the board so you knew you failed. Quizzes every week. Do yourself a favor and DO NOT take her.",1.0,4.0,Marlina Slamet
80,Just do yourself a favor and take this course somewhere else.,2.0,5.0,Marlina Slamet
81,"I used to love physics, but Slamet made me hate it. Her exams were very difficult, and even if you thought you did well on them, she marks off points on the stupidest things. Avoid if possible.",1.0,5.0,Marlina Slamet
82,"Slamet is a very hard professor. Definitely knows her stuff, but is not easy by any means. Struggled to get a C.",2.0,5.0,Marlina Slamet
83,Grading on exams are very inconsistent. Worst physics teacher I have ever had.,2.0,5.0,Marlina Slamet
84,Tests are so hard. Take elsewhere!!,1.0,5.0,Marlina Slamet
85,Tests are impossibly hard. Don't take!,1.0,5.0,Marlina Slamet
86,"Work was unclear , I would email him about what do it bcuz the syllabus was unclear as well and his response was "" go look on the syllabus "" I would email again and again and same response . Everyone in the class was confuse as hell , I just couldn't !!!",1.0,4.0,Donald Tricarico
87,"Honestly his voice makes you wanna sleep tough grader so many readings and things you dont even need , goes outside topic let his emotions show to much .",1.0,4.0,Donald Tricarico
88,"Was a very difficult class. When some students gave him criticism, he gave them attitude. His handwriting was difficult to read, asked him what it said, told me to figure it out. Challenging professor, if you want to challenge yourself for the first year go for it. You'll sit there for 3 hrs all confused bc he babbles about one thing to another.",1.0,4.0,Donald Tricarico
89,I will never recommend this class to anyone!! babbles the whole time and never gives a direct answer to a question. I should've dropped this class when I had the chance.,1.0,5.0,Donald Tricarico
90,"maybe i am being too hard on him but he is super boring. his voice just makes me fall asleep and is very hard to pay attention. I swapped him first day of class with another sociology teacher instead. I need to do good, not sleep in class.",2.0,3.0,Donald Tricarico
91,This Man can't teach. He lets his emotions show and get the best of him. His handwriting is terrible and he doesn't really teach. All he talks about is the projects you have to do. If you just want a basic high school teacher his your guy. But if you are trying to be enlightened his not your guy.,1.0,2.0,Donald Tricarico
92,"If you're looking to learn something about Sociology,  do not take Tricarico. He gets off topic constantly, and doesn't teach a thing about the course. Good luck reading his handwriting, he may as well not write any comments on the papers. He basically rambles on for 3 hours about things that do not relate to the class. Very boring class!",1.0,3.0,Donald Tricarico
93,"If I had the choice to drop I would.  rude. He is always discussing his own views and will pounce on anyone who thinks he is wrong. He is always talking off topic, in fact I don't even know what he talks about because his lecture is everywhere. Does not expalin his projects and just makes it hard for you to focus. You will learn more from the text",1.0,1.0,Donald Tricarico
94,This the absolute worst professor anyone can have he belittles your opinion and he's always talking about thing that are not related to the work itself.  He is always bringing in his political views constantly. He never explains his papers thoroughly and gives no helpful information. Talks a lot of irrelevant things rather than teach!!!,1.0,5.0,Donald Tricarico
95,"This professor was the biggest pain in my ass. She is very unspecific, so unspecific she posts announcements with attached pictures of her dog and a painting and nothing else. If you ask her for clarification, expect to get an attitude and questions not answered. She has duplicate assignments posted, and won't tell you which one is for a grade.",1.0,1.0,Shelley Fischer
96,WORST TEACHER I EVER TOOK AND I'VE GOTTEN AN F IN MY LIFE. She pretends to be there for you but takes forever to email you back. She's not clear on the instructions for 50 Questions. There only 3 major assignments and the last one was the one that she gave me a bad grade. Beware of slacking off on this class bc it can hit you like a bus. Don't take,1.0,4.0,Shelley Fischer
97,She has a great concept of her class of only having 4 exam assignments because there is a lot of reading and watching some videos. But she is one of the worst professors I had simply because she was very rude to me with our first interaction and she doesn't clearly communicate the assignment details in canvas which makes it difficult.,2.0,4.0,Shelley Fischer
98,"she is very rude and very unclear in her reviews and does not explain directions clearly. Explains in 2 sentences. Not understanding with covid happening*I dont recommend her, the class is alright but could be great with a better professor.",1.0,3.0,Shelley Fischer
99,"Be ready to work for this class. She assigns a grammar workbook that we never used in class. her style of teaching is very un-passionate, The atmosphere inside the class is tense and makes it hard for people to ask questions for certain things without getting judged. Overall would not recommend unless its your only choice.",2.0,3.0,Shelley Fischer
100,The exam being taken will have some historical questions which should never be on an exam based on English. There are times where it is unnecessary with what my professor does in class that some students get offended by.,1.0,1.0,Shelley Fischer
101,"I just taken her class 102 in this fall term. But I didn't catch her voice when she read the book. She just said to us that you don't need to use textbook. Damn! If you are study as international student, don't choose her class. It must be difficult for you.",1.0,5.0,Shelley Fischer
102,"Here's the thing about Tareneh. She ultimately wants you to learn. But it is up to you know A LOT about java to pass this class. She has office hours but never really responds to emails. She will not leave, so you better suck up to her ESPECIALLY if you're on the CS general track. She is a nice person if you put in effort and show up to class.",2.0,4.0,Taraneh BaradaranSeyed
103,"Class is really not needed because she covers the material from 335 all over again. Then at the end of the semester she goes over some new stuff, which can be covered in a few days. She requires attendance, has two projects. The way she words things is very unclear, therefore ask questions in class, she will give answers in class.",2.0,2.0,Taraneh BaradaranSeyed
104,No Comments,1.0,5.0,Taraneh BaradaranSeyed
105,"OK, so comments on Dr. Syed keep disappearing, so I'll keep this clean. She asks questions on homework unclearly. She is often personily unagreeable. She has warmed up and gotten more into actually teching towards the end, but only about a sixth of class time is spent on new material.",2.0,1.0,Taraneh BaradaranSeyed
106,"Shes a very nice person overall, but I didnt learn anything and didnt improve as a writer. Her lectures are incredibly boring and she stares at the clock the entire time. I honestly didnt try at all and got a B, so the class isnt hard... its just boring. The nice thing was we only had 4 essays to write.",2.0,1.0,Susan Zolliker
107,Hope youre not wanting to take this class in the morning because there is a 99% chance of falling asleep. To this day I still dont understand why attendance was mandatory considering absolutely nothing from what she calls lectures was important or helpful towards class work or assignments. Best of luck but I would not reccomend this class.,1.0,4.0,Susan Zolliker
108,"This class was extremely confusing as there were 4 different professors for the one course (literature, art, music, history.) I like the professors as individuals don't get me wrong.. but I would NEVER take this class ever again. The lectures are extremely heavy and on boring subject matters. Quizzes every week. Felt like a condensed course.",1.0,5.0,Susan Zolliker
109,Very weird considering that this lecture class included like 4 different professors teaching a humanities course. There are so many quizzes and they're so obscure to the lecture notes. Would stay away from this class if you need a good grade.,2.0,5.0,Susan Zolliker
110,"WORST professor EVER. Terrible at lectures. She just goes on and on over nonsense. Most isn't even related to what would be on the quizzes or useful when it came to writing essays. Quizzes aren't THAT bad when you read the chapters too, but lectures are still very required so you can listen to the nonsense that actually shows up on them.",2.0,4.0,Susan Zolliker
111,Definitely NOT a class to take. Lectures were not helpful at all when it came to the quizzes/exams. SUPER SUPER hard!  Surprised I even passed!,1.0,5.0,Susan Zolliker
112,"This is a horrible class. Sue will spend the entire class talking, but nothing that is important for the test. Her power points didn't help either. They are crazy tough graders. It's almost impossible to get anything higher than a C on the essay exams. I would not recommend taking this class.",1.0,3.0,Susan Zolliker
113,"Sue, SUCKS!!!!! DO NOT TAKE HER! If you want to learn anything take a different teacher. You'll sit in class and waist time, you don't learn anything from her and she is the lead instructor for the class. The other teachers (co-instructors) were good but they don't teach as much. She is very vague on what she says you should know.  BAD TEACHER >_<",1.0,4.0,Susan Zolliker
114,"Lectures are always BORING. Learned almost nothing from her specifically, but other professors teaching the class were helpful. She speaks slow but it doesn't help at all. There's just too much information. Definitely read the book and all the suggested readings and you should be fine. I would try to avoid taking any of her classes though.",1.5,5.0,Susan Zolliker
115,"If you're not a math or science major DO NOT take it with this guy. Guy can't speak english, offers no help, and doesn't explain his grading system. I've had great experiences with other teachers in the math department but not him.",1.0,5.0,Agashi Nwogbaga
116,"Dont Know how such a good school can hire Nwogbaga as a math teacher when he is an absolute imbecile in numbers... HORRIBLE TEACHER!! If you want to succeed in life, do not and I repeat do not take this class. It will be fatal mentally and emotionally; even to Eistein",1.0,5.0,Agashi Nwogbaga
117,he was horrible. he never wanted to help his students. I went to him for extra help saying i sent him an email about it and instead of helping me he made me look up the email i sent. Did not care about you or your grade. i warn you not to take him.,1.0,5.0,Agashi Nwogbaga
118,He has a very strong accent and I have felt as though he does not want to help his students. He moves on without working with you. Terrible,1.5,5.0,Agashi Nwogbaga
119,Attend every class and turn in the homework (which is extra credit) and you will pass with nothing less than a C.  He is always available for extra help and wants all of his students to pass. Take him if you suck at math.,2.0,3.0,Agashi Nwogbaga
120,"HORRIBLE professor... he will not ""take you to the promise land"" as he says. Extremely nit-picky, and rude, cant understand you and you cant understand hiM! DO NOT TAKE!",1.0,2.0,Agashi Nwogbaga
121,"Extremely difficult to understand, but very willing to help!  I got a 99% on the first test and failed every other one and still managed to get a C.  He gives a lot of extra credit.  Just study hard and you will do alright!",2.0,4.0,Agashi Nwogbaga
122,hes the worst teacher EVER,1.0,4.0,Agashi Nwogbaga
123,One of the worst teachers I have ever had. Speaks horrible english,1.0,3.0,Agashi Nwogbaga
124,No Comments,1.5,2.0,Agashi Nwogbaga
125,No Comments,1.5,1.0,Agashi Nwogbaga
126,"I acknowledge he need to work on his English, but at least he needs to prepare some lectures notes or something to make lectures more coherent. He marks hard to the presentation, term paper, and short responses. And presentation and paper take up 45% of total grade! unwilling to help you with paper and presentation ahead. workload is not much",2.0,2.0,Li Yu
127,Very nice and helpful but very difficult. he makes class very interesting. very heavy accent but you'll get used to it. go to each class and don't skip out!,2.0,4.0,Li Yu
128,"Maria is a fun professor who would dance Tango in class, or cosplay a nun with her scarf. BUT she is disorganized. Almost at the beginning of every class, she spends 5+ minutes looking for her teaching materials. She also forgets giving everyone exam paper on the exam day. And her spoken Spanish is hard to understand.",2.0,3.0,Maria Carbonetti
129,"Maria is a really great person, and I wish I liked this class but at the end of the day this course was a hot mess. To say it was unorganized and confusing would be an understatement. No one knew what was going on. It was like an unanswered riddle; I can't even say for sure what the course was about, or what I got out of it.",2.0,4.0,Maria Carbonetti
130,"She's very unapproachable. Rarely smiles, has a smirk on her face and does favour native speakers. She's very unorganized. I have no idea how she's still teaching in a prestigious school like UBC. She's worthless!",1.0,5.0,Maria Carbonetti
131,I agree with the last person. She totally favours native speakers which makes it hard for us that actually took the class to learn something. I don't think it's fair that people who can already speak spanish and grew up speaking it can take this class. I had span 202 with her and got an A+ and in 301 I got a B-.,2.0,5.0,Maria Carbonetti
132,"Dr Jamieson has a good heart, and is a nice man, but I did not feel that he had the qualifications to teach my course. Additionally, his lectures were virtually pointless and not supportive with the rest of the course. Most of the semester was taught by students(via presentations).",2.0,3.0,Duncan Jamieson
133,"Duncan is an older professor that is knowledgable about his topics in history. However, most of his classes (albeit Zoom meetings) were rants about himself and his views with occasional facts about Cultural Geography which is what the class was on. Most of the time, he is repetitive and boring although he means well and is very nice.",2.0,3.0,Duncan Jamieson
134,"Reviews that I read were so misleading. Grading is very inconsistent. He gives pop quizzes over 30 page chapters pretty often. Lectures the whole time, but not about anything in the book. Gives a take home midterm and final, but he grades them so tough that it doesn't matter. Also have 2 book reviews which aren't good either. Would not take him",2.0,4.0,Duncan Jamieson
135,"He is a very nice guy, but his class is nothing like I expected. He gives quizzes over the reading, which is usually 30 pages to read, every week. He lectures the entire class time but his notes are not beneficial to his quizzes. He gives a take home midterm and final, as well as two book reviews, but his grading is very inconsistent.",1.0,4.0,Duncan Jamieson
136,Online class has little to do with history and more to do with writing book reports and movie analysis. Grading is easy.,2.0,2.0,Duncan Jamieson
137,"Class could be a lot more clear. Seeman himself knows a lot and teaches really well, but clarity with grading could be improved. I was just pumped to get an A-. Just work really hard and talk to your TA.",2.0,5.0,Erik Seeman
138,It warms my heart to know that SUNY awards mediocrity with tenure.  Since when does  standing in front of a class and reading verbatim from a book you wrote qualify as teaching?,2.0,3.0,Erik Seeman
139,"Shes very particular in what she wants and if not followed you will fail the course. She tries to help you, but isnt the best at explanations to resolve the issue.",1.0,4.0,Cynthia McWilliams
140,"Where to start? The topic of the essays are unclear and yet are somehow the exact same. If she thinks she has an inkling of understanding the topic you've chosen, she will tear apart your paper if you interpret it differently from her. She doesn't like your paper? Either 0 or redo with probably not much better a score. love yourself, don't take her",1.0,3.0,Cynthia McWilliams
