text,label
"Dr. Lamkin is super hard. She jumps from first slide to random slides while explaining. Don't take anatomy with 3-4 classes. Requires a lot of reading, understanding and the most important memorizing. If you want an A you should like put A LOT of time studying. Definitely not an easy A. Her labs are extremely hard like her lectures! No extra points",0
Mrs. Prater means well but treats her students like they are children and talks down to them. Expects you to read every night before class and is homework heavy. Her personal tests arent that bad but the midterm is a grade breaker. Study hard and go to class otherwise you wont do well in the class. There are definitely easier teachers for this clas,1
"In this professor's class for only less than four weeks into the semester. He seems knowledgeable of the subject, however is extremely impatient with students. I went to see him in his office hours and he got angry over something not being printed out. I asked him to check my work and he said ""this is garbage I don't want to see it"".",0
"She is the best yoga instructor I have ever had!!  This is an excellent class to take, and you can get a letter grade!!",1
Well No Lie he has great stories though I'm sure if we stuck to the syllabus this class could have easily been a half semester class. He goes on and on and on with stories though that can be tiring and completely not go over what we should have in that class. Takes forever with grading things and giving them back. Not Emailer friendly.,1
"I found that Professor Smith was very disorganized. It felt like he didn't have a solid plan for the semester. He's not the best at lecturing, but if you go to him and talk one on one, the feedback and help you'll get is very good. Definitely not a professor I would take again, but he's a very nice guy.",0
He is approachable.,0
I wouldn't recommend this class to anyone. I chose this class with such high intentions and ending up being extremely disappointed. I am barely passing and the amount of work assigned is not normal. Please trust me. ,0
"Although this is the toughest class I've ever taken, MA really cares about her students. She shows it in an odd way because she can be rude or mean at times, but it's only because she wants you to do your best and want to succeed. Be prepared to do lots of homework problems. Read the book, and never get behind. It's impossible to catch up.",0
I took him this semester and he says he will respond to emails within 24 hours but Ive emailed him about a project days before it was due and he didnt respond until after it was already turned in. Also he doesnt keep up with grading and you wont really know if you passed the class or not until its basically too late. Will never take again.,0
run...,0
Ms. Brock is so caring!! She really cares about student's progress and always willing to help students! She is amazing!!,1
"She is a very nice teacher, does not put up with rude behavior. Her class was tough, I personally do not recommend her. Majority of the class failed, go to main campus more options. She makes you work in groups a lot. Try your best to keep up and get your book as soon as possible. Midterm  take home, Final  take home or in class(less questions)",0
If you have the option do not take this class online. Her directions are not very specific and she is terrible at replying to emails when students have questions. She will even copy and paste emails and send them to multiple students that asked for feedback on their paper. Not very helpful at all. ,0
"Its only 2 weeks into class and i'm totally miserable, IF spanish is your native language/your second language you'll love him we don't really learn anything new he just talks in spanish the whole time, I have a headache everytime I go to this class......he makes me hate spanish he is from Venezuala so he has a very strong accent.....Be Aware",0
"Serge Jasmin is a good guy its that other guy names organic chemistry that sucks. I'm not gonna lie he has trouble finishing his sentences and has accent so its sometime hard to follow, oh yeah and he gets mad when you ask questions and tells you too look at the stuff he posted on canvas as his answer. Grading isn't too bad since he curves.",0
"Very sweet and caring professor! My first semester of college and she gave me a great learning experience/atmosphere!I recommend her to everyone, pretty simple grading scale. You go mrs. p!",1
She was a good teacher. Math is really hard for me but she made it a point to openly ask questions when you don't understand and when you did she happily answered. We had a chaulk board not a white board and she's allergic to chaulk so she was always stuffed up. I don't recommend missing class cause you'll never catch up.,1
Lovely professor. Easy to talk to. ,1
"Great A&P teacher. She stays up late to make outlines and exam reviews to make it as easy as she can. A&P is a tough class. The people that drop weren't ready for the challenge, but Mrs. Zitrick makes it totally possible to get an A in the class. Find a group to study with and use all of her resources. She's a terrific asset to have.",1
Very enthusiastic professor that will make you fall in love with the subject of study. Inspirational influence on my career.  Probably my favorite teacher of all time. Dedicated to his students and (I feel) went above and beyond his responsibilities as a professor. I give Dr. Zlesak an A+!,1
"I would not recommend taking Dr. Kageyama. He does not know how to run a class. His lectures are confusing, study guides are not helpful, and tests are hard. The class average for both the midterms was 60%. He had to apply big curves and offer a bunch of extra credit just so we had a chance at passing. We also never got our project grades back. ",0
"If you arent good in math, stay far away from her. She is more of a bully than a teacher, she was not helpful at all, I will never take her again.",0
"Dr. Morris is the best! If you have any opportunity to take her class, do it. She is very understanding and kind, and is also excellent at explaining tougher concepts. She will go out of her way to help students if asked. The best, literally!",1
I took PSYC 321 (family development) with Dr. Mooney. She read straight off the slides and the class was boring. She was a tough grader when it came to the paper and exams. She nervously laughed after almost everything. Received a C and I worked my butt off in the class.,0
He is possible one of the worst professors I've ever had. He is very bad at explaining topics and doesnt go over half of the clicker questions so its hard to catch up if you are behind. The only reason I go to his lectures is for clicker questions because I learn little from him. The class by itself isn't bad but do what you can to avoid having him,0
"She is very unclear and almost makes you feel dumb for asking a question. She has this laugh that she does when you ask a question that makes you feel like she is mocking you. We never finished a lecture, tests are very hard and she doesnt explain things. WOULD NOT RECOMMEND. SO many people dropped this class.",0
The worst professor,0
"One of the worst professors I've ever had. Hutton didn't respect any students in the class, as well as she responded to 1 out of 9 emails I send throughout the semester. Also, hutton believes all of her students should ""look up to her"" and become just like her. She accused me of cheating twice and argued with my class the entire semester.",0
I love Professor Fujita. She is a sweet person and is more than willing to help. She is passionate about what she does and she cares about your performance.  Take her for Chem2411L!,1
Nguyen is great. He was so sensitive to the covid-19 situation with his students. He gave us lots of extra credit opportunities in the form of assignments and extra points available on tests (even before covid). He doesn't really take attendance but I don't recommend skipping any lectures or LABS. He's pretty funny but don't be sensitive!,1
"Very inattentive professor, extremely lecture heavy, doesn't make eye contact with students, horrible at explaining content, very strict grader, tests have nothing to do with textbook reading or what he presents in lecture. He expects you to be an expert before having taking this class. I strongly advise you to find a different physics professor.",0
Its not a easy intro level course but she really is the most amazing lecturer. She really makes all the stuff in the class fit together. The tests are essays but they are COMPLETELY based on lectures so its doable. There is also alot of extra credit.,1
"Discrimination, no science only politics! Hater of many ethnicities, including Russian people. Hater of some religious. He was disrespectful even to his wife during the class. The worse person I have ever meet. He is not a scientist because his mind is full of political propaganda!",0
She takes attendance EVERY class! Actually paying attention is optional. Don't bother buying the book; everything is in the powerpoints she gives you. You must memorize absolutely everything in those slides though. Tests are lots of multiple choice and a few essay style Q's. Read Q's very carefully. Will have a paper and group pres at the end.,1
"Falcon is one of a kind I would say. His class is hard and requires a lot of reading but I think being able to hear him lecture is worth it. He presents a lot of different perspectives and isnt afraid to get controversial. Im glad I stumbled across his class and didnt drop it, he really has impacted my perspective of the world",1
"She is very liberal and will call you out in front of the whole class if you are conservative. Papers are very controversial. She makes you sit in alphabetical order and bringing materials is mandatory. Basically, you are repeating eighth grade. She makes you do peer review and it is not very helpful at all. I dislike her but it is an easy A.",0
Decent lady but she can come off as rude at times. Get ready to sit in the most redundant class. As she drags out discussion and you will listen to people practically say the same thing over and over. I did an assignment early by following the syllabus and she added requirements not specified. Then got an attitude when I brought it up.,0
"Dr. Avila is amazing professor, I have taken Chem I and II with her before organic and if you really want to learn and have take it easy a bit, she's the one to take. At times she is very serious, but most of the time she's very caring and sarcastic which makes her class enjoyable. I would highly recommend Dr. Avila to just about anyone.",1
"Dr. Whitt is fast paced. I had him for two different classes, and I would have been lost if I wasn't already a math goddess. He gives homework every single class meet but never checks it. HE is VERY STRICT!!",1
Absolute worst. Tests are easy if you understand the basic concept of each problem. He is by far the hardest grader in the world. Takes off points even if the answer is correct. If he sees one thing not there that is a point off. Too old. Born in the BC era,0
STRICT ATTENDANCE POLICIES AND PARTICIPATION REQUIREMENTS; CONFUSING LECTURES; TIMELY BASED STRUCTURED ONLINE DISCUSSIONS; NO VIA E-MAIL ADDRESS REPLIES FOR RECEIVING ACCOMMODATION SERVICES ON IMPORTANT GROUP WORK ASSIGNMENTS/PROJECTS. Make sure you request INTENSIVE TUTORING SERVICES and verifiable CRC counseling support mentors to obtain success.,0
"A 20-point curve is added to each assignment. The highest test average was a 60, and all other tests had an average below 60. He is extremely hateful when a question is asked- regardless of the question. As a student who has succeeded in every aspect of college, this man lowered my self-esteem.",0
This class by far the worst class that I have ever taken at this college. Be prepared to stay up till 4 am 4 nights in a row studying for her quizzes and tests. I have seeked help from her and a tutor multiple times and neither were help at all. I feel she sets us up for failure. She takes forever at the beginning then goes physco at the end. awful,0
she was pretty nice and fairly helpful. i did feel like she may have treated me slightly different because i was young,1
I took this class as an online summer course and it was very straightforward. There were 2 exams and 3 discussions with two replies and weekly 20 question quiz. Professor Shan graded weekly and provided positive feedback. I enjoyed the class! Take it if you need a class.,1
He is pretty hard to understand. Get the textbook so you will know what is going on. His in-class examples don't make sense and he writes in an unorganized manner. You will have no idea how to calculate your grade because he makes it up as you go through the semester. There are hardly any explained practice problems so you're screwed for the exams.,0
"She is a tough grader, during lectures she does give out good ideas that you wouldnt normally think about. There are about 1 inside the class essay. I believe overall she is narcissistic and no matter how hard you try; it still isnt good enough for his standards.",0
Reading assignment every night and pop quizzes almost every class. There are three papers during the semester and she does a horrible job at explaining her expectations for these. Her midterm is impossible even after extensively reviewing the class material. I asked for assistance multiple times and she was rude and not willing to help. DO NOT TAKE,0
"This guy is terrible. I'm a ME major, this course is needed, and I have never gotten below a 84 in any previous math class. Makovers handwriting is bad, he jumps all over the place, he'll change numbers in examples or put an equation into mathmatica if he can't figure it out, and he goes way to fast. Avoid him at all costs.",0
"Dr. Mirsurda is really passionate about the material, but I don't think he relates it to the students. He doesn't give a lot of homework so I you don't do well there isn't much of a buffer. He often speaks the whole lecture, so it's hard to follow for 75 minutes. He often gives snarky responses to the students when they ask questions.",0
Never available to get help from.  Grades are based off of midterm and final only.  He didn't even know my name!,0
"Esposito can be very overwhelming at first, but you will grow to love him. He has such passion for what he teaches that you can't help but become interested. He assigns a 1 page essay every week for CC101 so be prepared for a lot of writing and reading. Do not skip the reading or the class.",1
"Seriously,  he is the worst teacher ever. I'm not just echoing what everyone else has said about him but this man cannot teach. he doesn't know what he going to teach in the class bcoz he uses other professor's powerpoint and he doesn't know some biological chemical reactions.  he is rude, disrespectful, and doesn't care for anyone or anything.",0
"I can definitely see why people may not like him, but he has been one of my favorite professors here at Temple. Makes you work hard and earn your grade, but you get so much out of his class.",1
she is really bad...she didnt help me at all...the class was a waste of money and time. dont take her class.,0
"Could be considered a language class. Taken for Science credits. Prof is very serious, on the ball, but totally human and reasonable. GREAT prof!",1
"Madhu has specific unspoken criteria for assignments, even when you follow the syllabus she always finds ways to deduct points. Unlike other ECE profs, she does not accept missing assignments at the end of the semester, and you will get a zero for them. If you are having hardships in your personal life she isn't super compassionate or accommodating",0
"Worst math teacher I have yet to take at TMCC (and I have taken many math classes). He offers absolutely no guidance for the exams and all the 'practice' tests are worthless because they cover nothing that's on the exams. He sets his students up for failure. If you have a difficult time with math, DO NOT TAKE CASEY!",0
"started MAT-106 and was excited  bc of his high rating. However, if you are not great at algebra, he won't slow down for you.  I was completely lost. 1st class  was told I need to get up to speed. 2nd class was told he does not teach algebra in this class and I have to already know it.  I had to drop , I was lost after only 2 classes",0
"Too many and too long quizzes. Really Hard exams. Bad Lecture notes. Bad TA grading. Too many quizzes, too hard exams and bad essay grading. Bad TA. Tough class.",1
"By far the most unorganized class I have been apart of at NC State. He only communicates through email, he lost student's assignments multiple times. I felt like I was taught nothing and had to figure it out on my own. He is a nice guy and a genius in AutoCAD but I just did not enjoy him as a teacher. You will probably get a high grade in the class",0
Professor Meacham knows the content really well. Questions are welcome and you will get in-depth answers no matter what questions you ask. You can feel that she does her best to make assignments as clear as possible.,1
"Best English Teacher ever!! She will work with you and help you. She grades fairly and honestly. Sweetest person ever.!! Also, you will learn a lot from her. From her teaching style to how to write properly she's the best.",1
"For a communication teacher she doesnt communicate very well. I took this class online and it was very difficult. The tests are so vague and you are expected to read 50+ pages for a 10 question quiz weekly, and everyone I asked agrees that the questions are based on material they didnt find in the text. She expects way too much. A lot of work.",0
Not a very good class if you actually want to learn something.  I took her for speech and I know nothing more then I did before...,0
Maher was not organized in his lectures. He would include irrelevant material in his lectures that would not be on his exams. He gave tests that included essays and definitions that were ridiculous. He was not clear when asked what he was looking for in the essays. The only way to pass is the attend each class and take notes over everything he says,0
"very good teacher, tough class if you don't work hard",1
"Although she has high expectations, Knott has been a really reliable professor for me. She does assign a lot and she does expect a lot out of students, but she provides help and is completely willing to work if you are. Again, It's not an easy class but if you're willing to stay on top of things it's not as hard as others make it seem.",1
"Surprisingly difficult, and Prof Khalsa isn't very understanding.  Pay attention to the syllabus - we weren't allowed to miss a SINGLE class, and that gets tough after a while.  I was so excited to take this, but have ended up hating it.  Unless you're REALLY serious, I'd stay away.",0
He never talked about the subject at hand. Graded papers harshly. Worthless overall.,0
"She is super hesitant to give As on anything. Even with little 10 point assignments; you do everything she tells you to do and you still won't get full credit. Must read the book from cover to cover to do good on tests. Also, lectures are a waste of time. Avoid taking!! ",0
"Professor Burnier does a great job at teaching, especially because he assigns papers that have to do with the history of Illinois and Chicago. He often goes on rants that pertain to nothing about the topics that we are supposed to be talking about, but overall he was great!",1
"Class is so pointless, all you do is talk about the book he wrote. Did well in the class but would never take him again. He is creepy....just look at his picture.",0
"Professor Hinshaw is simply an amazing person. His class was phenomenal. He is one of the most engaging lecturers I've encountered at Cal and a truly good person. Office hours were such a joy, and I always left with some nugget of wisdom. I wish this class were a year long. I would take any class with this professor! He's one-of-a-kind.",1
"Extremely hard corse no matter what professor you have.  Extra work in Bridges vs other friends with different teachers.  She moved very quickly and left no time for questions or confusion.  Pop Quizzes about once a week, class handouts for homework, online homework, and you are assigned questions from study guide to turn in every day.",1
"She is nice but doesn't seem very helpful. In my opinion, she doesn't explain things very clearly. There were many times in class where she would call on students for answers, they didn't know the answer, and then kind of acted like we were stupid for not knowing even though it was her instructions that weren't clear/didn't make sense.",0
She is seriously the sweetest and most helpful lady. She makes assignments very easy and interesting to students. I would definitely recommend her over other marketing teachers. One of my favorite classes,1
"She's very patient and if she sees that the class doesn't understand what she's talking about, she goes over it in a different way. She's always willing to help in and out of class. She's also a perfectionist so she will point out where you could do better, but she understands that night classes = busy people.",1
She is an amazing prof!! She is so energetic and passionate about teaching!,1
"Dr. Barber is the worst at grading anything. You will not get grades back until the last week of class, so no feedback until it's too late. Every assignment's instruction is so confusing, and every assignment repeats every week. I don't think I learned anything in this class. I learned how to do busywork.",0
"Horrible Teacher, only reads from the text book and expects too much from people. To give him a bit of credit, he does give us simple homework..at times. His test are also both True-False questions and are always open book. If only he gave a better description he would be a better teacher.",0
"Just a few notes: On ""Five and Apply"" papers, follow his example EXACTLY, as if it's a template. Seriously. Even if he says it's an ""anonymous"" discussion, use your name. He won't give you credit for the assignment if your name is not attached. Follow his directions EXACTLY and you should get a good grade. No late work!",1
"Pretty fun class. If you have any issues, she's super understanding. Just participate in discussions and do the assignments, and you'll be fine. They shouldn't take too much time. Extra Credit is plenty. If you do even one or two, you'll be golden for the entire semester.",1
"Amazing teacher. Hilarious, helpful, and class is a blast. He definitely goes out of his way to explain hard topics, as long as you ask him to. Challenging course, but he makes it fun.",1
"I can't say enough amazing things about Colleen! She expects you to have read the material outside of class but the in-class discussions are engaging and interesting, and she has a great sense of humour to boot. She doesn't use Blackboard but if you read the material thoroughly and attend class, you'll do well on her tests.",1
"For COMM 301:1 big paper at the end of the semester (comparative analysis) 3 tests the whole semester. gives u studyguide, everything she wants is super clear. no attendence policy. great sense of humor! take this class!",1
"Professor Crane is Awesome. extremely easy class. only assignments you get all year are three papers that are assigned at the beginning of the year and due at the end of the semester, on any topic you choose. Her exams are short and clear cut. she basically hands you an A. I would take this class over again, or at least another class with her. ",1
"He wrote his own textbook, so as long as you read the textbook you are fine. You're even better off because he makes a good amount of mistakes in lecture anyway. Also, his tests are  exactly like the homework and textbook, so if you know the homework you will ace the tests.",1
"Get ready to have to do at least 50 pages of reading (textbook and articles), watch 30-45 mins of videos AND read about 20-30 powerpoint slides PER WEEK. The quizzes are open book, but the questions are so specific that, no matter how much you prepare/study, you will still have no idea what's going on. Also, lots of trick questions.",0
"Among the worst professors I've ever had. She projects blame onto students for her own lack of knowledge, ridiculously vague and contradictory requirements, and even her inability to use basic teaching technology like Carmen or MS Word. When you point out her contradictory requirements or mistakes she makes, she comes down hard on you. Rude. Awful.",0
She definitely won't be swayed in her ways but she is very easygoing as long as you follow the instructions and get your work done. You can learn how to quickly improve with her feedback.,1
"Hard to hear, her slides don't make sense half the time because she doesn't proof read them. If you ask her something she'll tell you that's too advanced for the class and won't answer.",0
"Took Pharmacology II and worked on a research project in Bettina's lab for BIOM 4521/2.  Dr. Kalisch is an excellent teacher for Pharm II and a wonderful research supervisor. She genuinely cares about mentoring students, is approachable, knowledgeable and helpful.  Wondeful!",1
the most awesomest Acct Prof:D,1
"She gives 4 photography projects in total. 2 are projects that require you to choose between 2 topics, 1 requires you to go to an photography exhibition and discuss it, and the final project allows you to choose the topic. She's also lenient in terms of what she allows for the projects and is very kind. Best of all, she appreciates all work.",1
he's awesome!! The class definitely got A LOT harder and practice exams are only about 50% of what shows up on the actual class but he prepares you well for exams.,1
Her teaching style is lacking in clarity. You are pretty much on you own for knowing how to write a paper. Her tips and tricks are not very useful.,0
"It is literally the hardest thing I've ever done to pay attention to Dr. Kaminski for any amount of time. I can't say that I've ever seen her take a breath, let alone ask if you have questions. Be prepared to teach yourself a lot. As well as spend A LOT of time on the homework. Oh yeah, exams are awful too.",0
"This class is the worst spanish course that I have ever taken. We have so much homework for every class and the quizzes are terrible. She is nice, but this class is not worth it. I have gotten an A in every spanish class up to this point. The quizzes have things we never even talked about and the sakai page is so unorganized.",0
"Because Lamkin was an assistant professor, I didn't really have much experience with her. But from what I  experienced, she is a seemingly good professor. However, you shouldn't just take my word for it. Take a class with her and see how you like it. I'd be happy to hear how others like the new Honors program being started at Mission next semester.",1
Complete jerk.  Not interested in helping you.  He is dishonest with his grading and avoids students who ask for assistance.  Byrne gives VU profs a bad name.,0
"Sweetha is literally the sweetest TA! She comes across as tough but she was really understanding. The labs went by quickly and everything was very straightforward. Her quizzes are tough, but if you know your material and read the lab manual ahead of time, you'll absolutely ace this class. Just make sure you pay attention and stay respectful!",1
SO hot,1
"I loved Mr. Marsh, these classes were very hard, a lot of studying and an amazing amount of homework, but these classes are hard in general. Marsh has been my favorite teacher so far in my 2 years at Clark, he is understanding, flexible and will help anyone. I had fun during labs, lectures are a bit tough, but it was very worth it in the end. ",1
"The worst organization of any online class I've ever taken, The guidelines for written assignments weren't specific, and at worst contradicted themselves. Does not respond to communication. I felt that it was very poorly organized, and that he was putting in minimal effort. Would not recommend Kurokawa for this class.",0
Beeeeeeeesssssssstttttttttttttttttt teacher I ever met!,1
"I have not taken this class, but I have looked over what she has taught from friends. I am a local administrator for many large businesses in fort myers and from what I have seen she knows nothing about networking or teaching it.",0
"He is great. Attendance isn't mandatory but there are a lot of in class activities that are used for grading. Besides that there are 2 midterms, 1 final, and a project. All are easy, you make your own exam and then he adds like 10 questions( out of 50). Great Class.",1
"He puts 0 effort in catching the rampant cheating that was clearly happening with inflated test scores this semester. He could have at least randomized test questions, but it is clear the he is totally OK with punishing honest students.",0
"she was a really good professor. class wasn't always thrilling, but she was passionate about all of it. she had great stories and graded fairly.  plenty of small papers and 3 take home exams that ruined my life while i was writing them. but if you finish them, she'll give you a good enough grade.  i'd reccommend this section.",1
"She doesnt respond to any emails, takes forever to grade, and doesnt consider that were in a PANDEMIC. Her grading was tough and she wasnt lenient at all. Take it at another school dont put yourself through the stress and mental deterioration. Disappointed because I had heard so many good things about her when classes were in person.",0
Great teacher. If you have any questions she is more then willing to help you. Makes information applicable to real life situations. This class helps alot with Biomechanics and Motor learning.,1
"Long boring lectures. Spends forever copying his slides onto the white boards without adding any useful information and makes lots of mistakes. Poor explanations, contradicts himself, takes marks off for stupid things like writing a number as a fraction instead of a decimal. Wouldnt let the TA's give us hard copies of the tutorial solutions. Worst",0
"Not as good as people say. I had him this semester, and he was alright. The curve will not help you much, and while he is a good professor, he still has his flaws like everyone else. He comes off as smug/arrogant when you go to ask him questions. His exams are fair, but the averages are always high (as most of the students in his course are honors)",1
"In 102, there is daily homework and a lot of exams and you need your textbook all the time, but Erin was enthusiastic about getting us through the material and I felt prepared for the exams. good TA and always willing to answer questions",1
"He is an incredibly sweet professor, his class seemed difficult at first, but he allows you to send in your drafts and will give you amazing feedback. With his essays, they were long but not really hard to complete.",1
One of the worst teachers I've ever taken. Too many assignments for an online class. Too many small things you had to complete in order to get your real work done. Too many things due at once. Too many things due back to back. She was really rude when you did reach out to her. She just didn't care.,0
"I took elementary span 1 online w. her & it was tragic. Homework was due every week (over 70 assignments, not exaggerating) The class description said it was for people with little to no knowledge of Spanish (me) but the work was for Span 2 speakers. WHATEVER YOU DO STAY AWAY SHE WAS NOT UNDERSTANDING AT ALL. I WISH THERE WERE MORE CHARACTERS ...",0
Professor Lee has been a great teacher and is very cooperative but the only problem I faced was that he was not very much frequent with his replies to the emails. But otherwise he is a great teacher.,1
i think this teacher is ridiculous. He would rather drop students then help them. i know someone that supposedly failed a test and when they asked to see it he told them that he threw it away! he also  belittles students in the class room when they are trying to ask questions and get help,0
"Really nice guy, will help you if you ask for it. He is very enthusiastic about what he is teaching even though the subject was kind of difficult. However most people find philosophy tricky. If you put effort into this class there is no reason why you can't end up with and A or B. Also mention craft beer if you want a fun conversation.",1
"The way he explained things was confusing, so it's better to stick with smart people. You can missed a few classes and made the points up with extra credits. Overall it was an easy lab class, just a bit confusing. No textbook. If you take this class, you will surely get an A.",1
Took Professor Marlowe two semesters. She's a great professor! Lectures are clear and she gives a study guide for the exams. Very helpful! Definitely would take her class again,1
i previously had assumed that professors needed some degree of intelligence. khalsa taught me never to assume anything.,0
"The professor assigned a lot of readings but as long as you do the readings and discussion guides, the tests will be okay. Make outlines and know the chapter. The study guide does not help with the test very much. Kinda slow when it comes to grading and a little disorganized. Very friendly and approachable.",1
Not available outside class. Always tries to avoid students and their questions. Not organized at all.  Made simple things more complicated. Never gonna take his course again.,0
Must do assignment. Not allowed to go against her ideologies,0
I took him Fall 2019 for English 1C. Hes a good English professor and I felt like my writing improved but his personality is horrible. Hes arrogant and a narcissist. He will call on you in front of the whole class if he you do so much as laugh or make a sound. Hes not afraid to embarrass you in front of others. Horrible!!,0
Interesting teacher whom knows a lot about the subject matter. Also has lived the life of an Anthropologist so he talks from experience. If you do the readings ( the textbook is really interesting ).Phones are completely off limits. Pretty easy class to get a decent grade in that you show up and read the assigned readings.,1
We didn't learn anything because we never had lectures. During the 2nd week of classes she said she was canceling all classes for the rest of the semester. She told us we would all get A's as long as we didn't tell the Goodwin administration. Told us if we cared about Bio then we should just read the textbook. Please Goodwin do something about this,0
"Dr. Kelly isnt a bad professor at all. Most of the opinions are based on preliminary writing courses the University required, which she really has no control over. Her own classes are very insightful and helpful without an intense amount of work. All required gen-ed credits suck, but her actual classes are great.",1
"Do not take this class if you want to learn something. Ms. Bouchard is interesting to look at, but she is not good at teaching. She is unorganized, does not follow the syllabus, makes up assignments as she goes along and does not grade anything until the end of the term. Her lectures are about the definitions and no real legal research happening. ",0
"She is a great professor who has a passion to teach Economics. And she is always welcome to answer questions. Actually, I couldn't take good scores on each test then I got 79% for a grade after final finish. However, when I asked to give me a chance, she gave me 80%. I have no words for her. Don't give up and try to talk to her. She will help you",1
"It is very obvious the professor does not care about this class. The class consists of reading through a stats book, and doing a homework/quiz assignment out of the book weekly. This is a self help class. The professor is not involved besides grading. He won't respond to emails, you are on your own for any confusion. Don't bother signing up for him",0
"Very easy  class, 4 Essays and 1 group presentations. Lectures are very  boring , don't expect to watch modern movies very often, usually the movies in focus are black and white or from foreign countries. Easy A as long as your essays are good.",0
"Jeremy Fry was super nice from the first day. If you don't understand something, he'd usually go back and fix his mistakes, or show you how to do it better. I really liked his teaching style.",1
"Andor is a great professor. I had him for the ECO/HST class that he taught with Sabi. He's funny, easygoing, extremely knowledgable about history, and an all around interesting guy to talk to. He doesn't seem to care too much about deadlines, but he can be a tough grader so make sure if you turn something in late that it's good quality.",1
"Super strict about guidelines, but yet confusing. The exams are headache inducing. The material itself was really interesting but she did not seem to care about the students, even if it was an online class. And the final paper had nothing to do with the material covered in class.",0
She is the most hate-inspired woman I have ever dealt with and that is not an exaggeration by any means.  I absolutely despise this woman and cannot understand how she's still got a job.,0
Great teacher. Very helpful. Pretty easy. Recommend you take his class.,1
"This has to be by far the hardest/worst online class i have ever taken. The quizes are extremly hard and tricky, and the book sometimes tricks you as well. Some of her answers to her questions are wrong and when brought up to her she wont do anything about it. DONT TAKE THIS CLASS.",0
"I would never recommend anyone to take her class who is doing a gen ed or if you have any traditional views. She gives out many writing assigments, and also grades very unfairly on your own analyzations of the theories learned. She is a very young professor and a joke. Uconn really needs to get rid of her. I should've looked here before taking.",0
"He's there to help you understand the material, but your final grade depends on how hard you work. Definitely cannot skip this class, missing one day can be crucial.",1
